Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Area
Sentosa Island,2022,1,1,10.4,6.0,7.6,8.2,25.8,29.5,23.9,3.7,19.4,South
Sentosa Island,2022,1,2,27.8,5.2,7.2,10.4,24.7,25.7,23.9,4.5,18.7,South
Sentosa Island,2022,1,3,5.6,5.6,5.6,5.6,26.3,30.0,24.0,5.1,25.6,South
Sentosa Island,2022,1,4,2.4,1.2,2.0,2.0,27.3,33.3,25.0,4.7,23.0,South
Sentosa Island,2022,1,5,29.0,25.0,28.8,29.0,28.1,33.5,24.9,5.7,34.3,South
Sentosa Island,2022,1,6,0.5,0.5,0.5,0.5,28.8,34.4,26.2,5.2,21.7,South
Sentosa Island,2022,1,7,23.2,15.8,20.4,22.4,28.0,33.8,25.1,4.0,23.7,South
Sentosa Island,2022,1,8,1.4,1.2,1.2,1.2,28.4,32.5,26.2,5.0,27.0,South
Sentosa Island,2022,1,9,0.0,0.0,0.0,0.0,29.2,33.8,26.7,5.3,25.6,South
Sentosa Island,2022,1,10,0.0,0.0,0.0,0.0,29.2,33.8,26.5,6.3,29.1,South
Sentosa Island,2022,1,11,0.0,0.0,0.0,0.0,28.8,32.6,25.7,4.6,24.4,South
Sentosa Island,2022,1,12,0.0,0.0,0.0,0.0,28.8,33.6,26.3,6.2,27.0,South
Sentosa Island,2022,1,13,0.0,0.0,0.0,0.0,28.9,34.5,25.8,6.7,33.2,South
Sentosa Island,2022,1,14,0.0,0.0,0.0,0.0,28.6,33.4,26.0,6.7,29.8,South
Sentosa Island,2022,1,15,0.2,0.2,0.2,0.2,28.8,34.1,26.4,5.3,28.5,South
Sentosa Island,2022,1,16,0.0,0.0,0.0,0.0,29.0,34.1,26.5,5.6,27.0,South
Sentosa Island,2022,1,17,7.2,4.4,4.4,7.2,27.9,31.7,25.6,5.6,29.8,South
Sentosa Island,2022,1,18,0.0,0.0,0.0,0.0,28.9,33.8,26.3,6.8,34.3,South
Sentosa Island,2022,1,19,4.8,2.6,2.6,4.8,27.9,32.2,26.3,5.6,31.7,South
Sentosa Island,2022,1,20,22.6,12.6,14.0,19.2,27.5,33.2,23.7,4.8,38.9,South
Sentosa Island,2022,1,21,0.0,0.0,0.0,0.0,28.6,34.2,25.6,5.4,24.1,South
Sentosa Island,2022,1,22,0.0,0.0,0.0,0.0,28.5,33.9,26.2,6.2,26.3,South
Sentosa Island,2022,1,23,0.0,0.0,0.0,0.0,28.2,31.4,25.9,6.5,29.4,South
Sentosa Island,2022,1,24,0.0,0.0,0.0,0.0,28.4,32.6,26.1,4.8,21.3,South
Sentosa Island,2022,1,25,0.0,0.0,0.0,0.0,29.3,34.3,26.2,5.2,24.4,South
Sentosa Island,2022,1,26,0.0,0.0,0.0,0.0,28.7,33.0,26.1,5.1,26.7,South
Sentosa Island,2022,1,27,0.0,0.0,0.0,0.0,28.6,32.6,26.1,4.8,27.8,South
Sentosa Island,2022,1,28,0.0,0.0,0.0,0.0,29.4,35.2,25.7,4.7,23.0,South
Sentosa Island,2022,1,29,0.0,0.0,0.0,0.0,28.4,33.4,25.6,6.4,28.9,South
Sentosa Island,2022,1,30,4.4,3.2,3.6,4.4,27.8,32.4,24.6,5.4,24.4,South
Sentosa Island,2022,1,31,0.0,0.0,0.0,0.0,28.6,32.5,26.3,6.2,27.0,South
Sentosa Island,2022,2,1,0.0,0.0,0.0,0.0,28.9,33.9,26.7,5.7,28.2,South
Sentosa Island,2022,2,2,0.0,0.0,0.0,0.0,28.5,31.9,26.2,5.7,25.9,South
Sentosa Island,2022,2,3,0.0,0.0,0.0,0.0,29.5,33.5,26.8,6.2,34.3,South
Sentosa Island,2022,2,4,0.0,0.0,0.0,0.0,29.5,33.7,27.4,7.1,29.4,South
Sentosa Island,2022,2,5,1.6,1.0,1.0,1.0,28.7,33.0,25.7,6.3,35.0,South
Sentosa Island,2022,2,6,27.4,9.0,9.8,11.6,26.3,30.1,23.9,4.6,25.9,South
Sentosa Island,2022,2,7,1.4,1.0,1.4,1.4,27.2,31.2,24.6,6.2,27.8,South
Sentosa Island,2022,2,8,1.2,0.8,1.0,1.0,27.2,31.5,25.1,5.0,28.5,South
